iter	Passed	Remaining
401	19518	29035
402	19559	28974
403	19600	28915
404	19644	28860
405	19688	28805
406	19732	28750
407	19773	28690
408	19816	28635
409	19860	28580
410	19904	28525
411	19960	28486
412	20021	28456
413	20080	28422
414	20140	28390
415	20192	28346
416	20236	28292
417	20280	28236
418	20322	28180
419	20369	28128
420	20412	28073
421	20458	28021
422	20500	27964
423	20544	27909
424	20585	27851
425	20626	27791
426	20670	27737
427	20721	27692
428	20777	27655
429	20835	27618
430	20899	27591
431	20953	27550
432	21002	27502
433	21048	27450
434	21096	27400
435	21146	27354
436	21193	27304
437	21252	27269
438	21298	27217
439	21341	27162
440	21386	27108
441	21429	27053
442	21469	26994
443	21522	26950
444	21576	26909
445	21623	26859
446	21665	26803
447	21711	26751
448	21774	26720
449	21856	26713
450	21934	26700
451	21999	26671
452	22061	26639
453	22111	26592
454	22156	26538
455	22199	26483
456	22244	26430
457	22296	26386
458	22341	26333
459	22381	26274
460	22424	26219
461	22465	26161
462	22510	26108
463	22556	26057
464	22609	26012
465	22670	25978
466	22745	25959
467	22834	25956
468	22914	25944
469	22971	25904
470	23017	25852
471	23071	25808
472	23114	25752
473	23155	25695
474	23203	25645
475	23250	25594
476	23298	25545
477	23339	25488
478	23389	25440
479	23437	25391
480	23492	25348
481	23537	25295
482	23588	25248
483	23641	25205
484	23690	25155
485	23739	25106
486	23785	25055
487	23826	24998
488	23875	24949
489	23928	24905
490	23969	24848
491	24018	24799
492	24064	24748
493	24115	24700
494	24162	24651
495	24212	24603
496	24259	24552
497	24301	24496
498	24344	24441
499	24391	24391
500	24439	24341
501	24486	24291
502	24535	24242
503	24584	24194
504	24639	24151
505	24682	24097
506	24728	24045
507	24772	23992
508	24822	23944
509	24865	23890
510	24926	23853
511	24984	23813
512	25032	23764
513	25088	23721
514	25139	23675
515	25188	23625
516	25244	23584
517	25291	23533
518	25336	23481
519	25382	23430
520	25423	23374
521	25465	23318
522	25511	23268
523	25559	23218
524	25611	23172
525	25654	23118
526	25696	23063
527	25739	23009
528	25792	22964
529	25837	22912
530	25882	22860
531	25932	22813
532	25977	22761
533	26017	22704
534	26063	22653
535	26109	22602
536	26152	22548
537	26194	22494
538	26248	22449
539	26301	22404
540	26352	22358
541	26399	22307
542	26442	22254
543	26487	22202
544	26530	22149
545	26574	22096
546	26619	22045
547	26665	21994
548	26716	21947
549	26764	21898
550	26806	21843
551	26846	21788
552	26891	21736
553	26933	21682
554	26981	21633
555	27026	21581
556	27072	21531
557	27133	21492
558	27177	21440
559	27227	21393
560	27273	21342
561	27319	21291
562	27365	21240
563	27409	21189
564	27452	21136
565	27500	21087
566	27546	21036
567	27594	20987
568	27641	20937
569	27687	20887
570	27728	20833
571	27769	20778
572	27809	20723
573	27857	20674
574	27905	20625
575	27948	20573
576	27994	20522
577	28038	20470
578	28085	20421
579	28132	20371
580	28186	20327
581	28228	20273
582	28272	20222
583	28316	20170
584	28362	20120
585	28403	20066
586	28464	20027
587	28535	19994
588	28597	19955
589	28685	19934
590	28745	19893
591	28798	19847
592	28845	19797
593	28888	19745
594	28935	19695
595	28994	19654
596	29065	19620
597	29124	19578
598	29174	19530
599	29228	19485
600	29286	19442
601	29333	19393
602	29391	19350
603	29442	19303
604	29487	19252
605	29535	19202
606	29579	19151
607	29625	19100
608	29668	19048
609	29713	18997
610	29761	18947
611	29801	18893
612	29844	18841
613	29890	18790
614	29936	18740
615	29983	18690
616	30027	18639
617	30068	18586
618	30111	18533
619	30154	18481
620	30195	18428
621	30238	18376
622	30280	18323
623	30320	18269
624	30375	18225
625	30449	18192
626	30494	18141
627	30536	18088
628	30578	18035
629	30623	17985
630	30668	17934
631	30712	17883
632	30755	17831
633	30798	17779
634	30843	17728
635	30891	17680
636	30957	17641
637	31007	17593
638	31057	17545
639	31105	17496
640	31148	17445
641	31190	17393
642	31234	17341
643	31275	17289
644	31320	17238
645	31362	17186
646	31404	17133
647	31448	17082
648	31496	17034
649	31535	16980
650	31581	16930
651	31623	16878
652	31668	16828
653	31710	16776
654	31749	16723
655	31794	16672
656	31836	16620
657	31880	16570
658	31928	16521
659	31969	16469
660	32015	16419
661	32058	16368
662	32107	16319
663	32148	16267
664	32192	16217
665	32236	16166
666	32279	16115
667	32330	16068
668	32379	16020
669	32424	15970
670	32467	15919
671	32515	15870
672	32568	15824
673	32616	15775
674	32666	15728
675	32718	15681
676	32766	15633
677	32814	15584
678	32867	15538
679	32913	15488
680	32961	15440
681	33007	15390
682	33060	15344
683	33114	15298
684	33157	15247
685	33199	15196
686	33251	15149
687	33294	15098
688	33351	15054
689	33395	15003
690	33447	14957
691	33497	14909
692	33540	14858
693	33586	14808
694	33626	14756
695	33665	14704
696	33704	14652
697	33749	14602
698	33796	14553
699	33845	14505
700	33892	14456
701	33935	14405
702	33978	14355
703	34027	14306
704	34075	14258
705	34124	14210
706	34170	14161
707	34221	14113
708	34266	14064
709	34309	14013
710	34354	13964
711	34398	13914
712	34446	13865
713	34492	13816
714	34539	13767
715	34589	13719
716	34647	13675
717	34714	13634
718	34776	13591
719	34820	13541
720	34864	13491
721	34910	13442
722	34954	13391
723	35001	13343
724	35057	13297
725	35104	13248
726	35151	13199
727	35195	13149
728	35240	13100
729	35280	13049
730	35321	12997
731	35367	12948
732	35417	12901
733	35460	12850
734	35504	12801
735	35549	12751
736	35595	12702
737	35641	12653
738	35686	12603
739	35732	12554
740	35777	12505
741	35822	12455
742	35865	12405
743	35908	12355
744	35950	12305
745	35990	12254
746	36033	12204
747	36078	12154
748	36123	12105
749	36165	12055
750	36214	12007
751	36262	11958
752	36309	11910
753	36352	11860
754	36399	11811
755	36441	11761
756	36485	11711
757	36543	11666
758	36589	11618
759	36635	11569
760	36677	11518
761	36719	11468
762	36784	11425
763	36844	11381
764	36904	11336
765	36961	11291
766	37024	11247
767	37091	11204
768	37146	11158
769	37213	11115
770	37267	11068
771	37361	11034
772	37443	10995
773	37519	10955
774	37585	10911
775	37664	10872
776	37735	10830
777	37799	10785
778	37867	10742
779	37932	10698
780	38007	10657
781	38087	10617
782	38184	10582
783	38258	10540
784	38326	10497
785	38409	10457
786	38479	10414
787	38545	10370
788	38626	10329
789	38722	10293
790	38820	10257
791	38894	10214
792	38951	10167
793	39002	10118
794	39067	10074
795	39122	10026
796	39171	9977
797	39224	9928
798	39275	9880
799	39329	9832
800	39385	9784
801	39438	9736
802	39493	9688
803	39558	9643
804	39622	9597
805	39691	9553
806	39776	9512
807	39852	9469
808	39936	9428
809	40014	9386
810	40083	9341
811	40204	9308
812	40297	9268
813	40393	9230
814	40474	9187
815	40528	9138
816	40588	9091
817	40646	9043
818	40696	8994
819	40749	8945
820	40804	8896
821	40857	8847
822	40908	8798
823	40961	8749
824	41026	8702
825	41081	8654
826	41143	8606
827	41199	8558
828	41252	8509
829	41304	8459
830	41356	8410
831	41406	8360
832	41463	8312
833	41512	8262
834	41566	8213
835	41626	8165
836	41679	8116
837	41734	8068
838	41789	8019
839	41839	7969
840	41895	7920
841	41948	7871
842	41990	7820
843	42044	7771
844	42098	7722
845	42148	7672
846	42199	7622
847	42248	7572
848	42303	7523
849	42358	7475
850	42407	7425
851	42461	7375
852	42508	7325
853	42559	7275
854	42614	7227
855	42661	7176
856	42714	7127
857	42767	7078
858	42812	7027
859	42866	6978
860	42916	6928
861	42970	6879
862	43033	6831
863	43087	6782
864	43137	6732
865	43190	6683
866	43247	6634
867	43304	6585
868	43359	6536
869	43409	6486
870	43463	6437
871	43514	6387
872	43569	6338
873	43623	6288
874	43676	6239
875	43730	6190
876	43781	6140
877	43828	6090
878	43881	6040
879	43936	5991
880	43981	5940
881	44038	5891
882	44091	5842
883	44146	5792
884	44198	5743
885	44253	5694
886	44307	5644
887	44355	5594
888	44417	5545
889	44476	5497
890	44531	5447
891	44592	5399
892	44656	5350
893	44704	5300
894	44772	5252
895	44821	5202
896	44880	5153
897	44939	5104
898	45000	5055
899	45057	5006
900	45104	4955
901	45158	4906
902	45210	4856
903	45259	4806
904	45319	4757
905	45370	4707
906	45424	4657
907	45475	4607
908	45525	4557
909	45581	4508
910	45633	4458
911	45694	4409
912	45755	4360
913	45814	4310
914	45863	4260
915	45925	4211
916	45988	4162
917	46046	4113
918	46099	4063
919	46152	4013
920	46212	3963
921	46258	3913
922	46316	3863
923	46370	3814
924	46420	3763
925	46472	3713
926	46529	3664
927	46585	3614
928	46644	3564
929	46705	3515
930	46760	3465
931	46811	3415
932	46862	3365
933	46915	3315
934	46978	3265
935	47042	3216
936	47096	3166
937	47155	3116
938	47205	3066
939	47279	3017
940	47360	2969
941	47405	2918
942	47451	2868
943	47514	2818
944	47585	2769
945	47649	2719
946	47704	2669
947	47766	2620
948	47841	2571
949	47912	2521
950	47974	2471
951	48038	2422
952	48099	2372
953	48155	2321
954	48228	2272
955	48284	2222
956	48346	2172
957	48407	2122
958	48467	2072
959	48536	2022
960	48625	1973
961	48709	1924
962	48773	1873
963	48885	1825
964	48967	1776
965	49055	1726
966	49137	1676
967	49198	1626
968	49255	1575
969	49322	1525
970	49402	1475
971	49502	1425
972	49626	1377
973	49688	1326
974	49773	1276
975	49842	1225
976	49947	1175
977	50020	1125
978	50078	1074
979	50120	1022
980	50165	971
981	50204	920
982	50244	868
983	50286	817
984	50342	766
985	50389	715
986	50488	664
987	50579	614
988	50665	563
989	50742	512
990	50783	461
991	50829	409
992	50906	358
993	50945	307
994	50991	256
995	51034	204
996	51080	153
997	51124	102
998	51168	51
999	51213	0
